City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,kingston,17.997,-76.7936,300.51,86,100,1.49,JM,1686370838
170,avarua,-21.2078,-159.775,299.18,83,75,3.6,CK,1686371048
171,coihueco,-36.6167,-71.8333,280.59,78,100,1.69,CL,1686371049
172,thompson,55.7435,-97.8558,284.24,66,0,2.06,CA,1686371049
173,zeribet el oued,34.6828,6.5111,304.03,42,100,2.18,DZ,1686371049
174,san fernando de apure,7.8878,-67.4724,296.57,97,100,1.06,VE,1686371049
175,indramayu,-6.3264,108.32,302.85,59,13,5.19,ID,1686371050
176,altai,46.3722,96.2583,293.75,26,11,5.67,MN,1686371050
177,punta arenas,-53.15,-70.9167,274.21,86,0,5.14,CL,1686371050
178,karagandy,49.8019,73.1021,293.12,50,0,5.54,KZ,1686370963
179,stanley,54.868,-1.6985,282.75,90,75,1.54,GB,1686371050
180,panjab,34.388,67.0233,290.37,29,0,1.21,AF,1686371050
181,slave lake,55.2834,-114.769,295.14,56,0,3.6,CA,1686371051
182,vorgashor,67.5833,63.95,283.25,46,100,9.87,RU,1686371052
183,hasaki,35.7333,140.8333,297.51,83,100,2.35,JP,1686370943
184,sidi bennour,32.6524,-8.4277,290.01,88,2,0.76,MA,1686371053
185,lianzhou,24.7811,112.3825,304.39,71,81,0.63,CN,1686371053
186,ust-nera,64.5667,143.2,292.87,42,100,0.95,RU,1686371054
187,dzhambeyty,50.2536,52.595,297.41,36,6,2.0,KZ,1686371054
188,afaahiti,-17.75,-149.2833,299.08,66,96,6.26,PF,1686371054
189,dudinka,69.4058,86.1778,277.94,45,68,4.85,RU,1686371054
190,lompoc,34.6391,-120.4579,287.51,85,100,3.13,US,1686371054
191,hami,42.8,93.45,309.11,10,0,0.82,CN,1686371055
192,kone,-21.0595,164.8658,296.63,63,87,2.85,NC,1686371055
193,verkhotur'ye,58.8627,60.8054,288.64,47,92,4.58,RU,1686371055
194,monzon,41.9108,0.1941,289.84,67,38,1.93,ES,1686371055
195,inarajan village,13.2736,144.7484,304.63,77,94,4.61,GU,1686371055
196,sao paulo de olivenca,-3.3783,-68.8725,296.05,99,99,0.4,BR,1686371056
197,klaksvik,62.2266,-6.589,281.66,87,100,6.61,FO,1686371056
198,hirara,24.8,125.2833,303.3,79,75,5.66,JP,1686371056
199,vila franca do campo,37.7167,-25.4333,290.38,87,8,3.01,PT,1686371056
200,nicoya,10.1483,-85.452,297.89,91,93,1.38,CR,1686371056
201,rouissat,31.9243,5.3502,302.19,18,100,2.06,DZ,1686371056
202,chenzhou,25.8,113.0333,303.97,67,79,1.18,CN,1686371057
203,chilliwack,49.1747,-121.9443,285.67,94,100,2.24,CA,1686371057
204,tahe,52.3333,124.7333,294.03,61,99,2.54,CN,1686371058
205,bredasdorp,-34.5322,20.0403,284.04,90,12,1.42,ZA,1686371058
206,manzini,-26.25,31.5,285.34,40,0,2.56,SZ,1686371058
207,utrik,11.2278,169.8474,301.17,79,90,6.89,MH,1686371059
208,trujillo,-8.116,-79.03,295.13,88,40,4.12,PE,1686371059
209,atherton,53.5237,-2.4935,284.72,81,5,2.68,GB,1686371031
210,selfoss,63.9331,-20.9971,274.84,72,37,2.23,IS,1686371059
211,hingoli,19.7167,77.15,308.0,34,7,5.82,IN,1686371059
212,nabire,-3.3667,135.4833,303.18,67,30,1.94,ID,1686371060
213,tamiahua,21.2667,-97.45,300.15,91,5,3.81,MX,1686371060
214,ghardaia,32.4909,3.6735,300.79,44,0,6.17,DZ,1686371060
215,pacific grove,36.6177,-121.9166,286.5,85,75,3.09,US,1686371060
216,douma,33.5718,36.4027,292.84,44,23,2.36,SY,1686371060
217,san luis de la loma,17.2706,-100.8939,300.69,73,12,1.09,MX,1686371061
218,kattivakkam,13.2167,80.3167,305.97,64,100,6.66,IN,1686370832
219,taulaga,-11.0553,-171.0883,301.9,80,18,7.33,AS,1686371061
220,brisas de zicatela,15.8369,-97.0419,303.44,74,40,3.6,MX,1686371061
221,parun,35.4207,70.9221,290.98,35,0,1.38,AF,1686371062
222,montes claros,-16.735,-43.8617,291.03,77,0,0.0,BR,1686371062
223,kununurra,-15.7667,128.7333,305.14,40,85,4.12,AU,1686371062
224,crane,31.3974,-102.3501,298.92,41,91,4.37,US,1686371062
225,vilyuchinsk,52.9306,158.4028,294.96,44,73,6.23,RU,1686371062
226,jean-rabel,19.8533,-73.1917,301.01,73,100,1.92,HT,1686371063
227,sernur,56.9333,49.1536,280.97,88,58,5.07,RU,1686370819
228,yung shue wan,22.2333,114.1167,302.86,83,39,0.45,HK,1686371063
229,lashio,22.9333,97.75,294.94,98,99,0.83,MM,1686371063
230,tshikapa,-6.4167,20.8,294.66,93,99,0.97,CD,1686371063
231,haiku-pauwela,20.9219,-156.3051,298.51,64,20,9.77,US,1686371064
232,mont-tremblant,46.1949,-74.6264,283.92,93,30,0.0,CA,1686370941
233,abuyog,10.6667,125.05,304.46,65,87,3.62,PH,1686371064
234,puerto santa,-8.9906,-78.6456,294.74,83,60,4.33,PE,1686371064
235,port blair,11.6667,92.75,303.17,70,75,4.12,IN,1686371064
236,zag,46.9441,99.165,295.06,24,100,2.75,MN,1686371064
237,tiksi,71.6872,128.8694,282.26,86,100,6.72,RU,1686371065
238,dakhla,23.6848,-15.958,294.21,85,1,5.93,EH,1686371065
239,kadayanallur,9.0833,77.35,302.7,62,100,4.67,IN,1686371065
240,guerrero negro,27.9769,-114.0611,289.49,80,80,7.18,MX,1686371065
241,tsiombe,-25.3,45.4833,290.58,85,0,2.54,MG,1686371065
242,duyun,26.2667,107.5167,298.63,67,100,1.56,CN,1686371066
243,al jahra',29.3375,47.6581,309.2,13,0,4.29,KW,1686371066
244,eleskirt,39.8033,42.6736,285.07,69,70,0.93,TR,1686371066
245,aasiaat,68.7098,-52.8699,275.14,97,100,5.29,GL,1686371066
246,villarrica,-25.75,-56.4333,291.87,77,0,2.03,PY,1686371066
247,kudahuvadhoo,2.6708,72.8944,301.01,77,92,1.67,MV,1686371067
248,higuera de zaragoza,25.95,-109.2833,298.11,53,2,2.41,MX,1686371067
249,barguzin,53.6167,109.6167,300.58,23,31,0.76,RU,1686371067
250,sabha,27.0377,14.4283,299.76,35,29,4.53,LY,1686371067
251,murudeshwara,14.0943,74.4845,301.47,78,99,5.9,IN,1686371067
252,hadibu,12.65,54.0333,301.61,80,100,6.86,YE,1686371067
253,hlusk,52.903,28.6845,285.29,95,93,3.57,BY,1686371068
254,kruisfontein,-34.0033,24.7314,280.86,85,0,2.13,ZA,1686371068
255,agara,42.0376,43.8238,291.67,85,99,4.44,GE,1686371068
256,karema,-6.8205,30.4389,294.09,71,28,2.29,TZ,1686371068
257,alpu,39.769,30.9606,287.27,90,42,2.78,TR,1686371069
258,kuanda,56.3161,116.0806,297.77,30,10,1.36,RU,1686371069
259,ostroleka,53.0862,21.5757,286.34,64,92,5.55,PL,1686371069
260,howrah,22.5892,88.3103,302.15,79,75,2.06,IN,1686371001
261,horta,38.5333,-28.6333,290.94,78,29,4.02,PT,1686371070
262,matoury,4.8483,-52.3317,297.13,94,100,1.03,GF,1686371070
263,suonenjoki,62.6167,27.1333,281.59,59,8,0.76,FI,1686371070
264,rocky mountain house,52.3668,-114.9188,292.21,52,79,2.57,CA,1686371017
265,medina,24.4686,39.6142,306.39,14,0,1.54,SA,1686371071
266,minas de marcona,-15.2119,-75.1103,285.39,90,26,5.21,PE,1686371071
267,luga,58.7372,29.8453,282.56,53,7,2.13,RU,1686371071
268,ukhta,63.5671,53.6835,279.94,91,96,4.71,RU,1686371071
269,ocean shores,46.9737,-124.1563,285.68,92,100,1.34,US,1686371072
270,nemuro,43.3236,145.575,282.07,98,100,5.87,JP,1686371072
271,broken hill,-31.95,141.4333,288.59,42,0,1.84,AU,1686371062
272,szamotuly,52.612,16.5779,290.28,91,64,3.52,PL,1686371072
273,namibe,-15.1961,12.1522,290.36,88,17,1.47,AO,1686371073
274,uturoa,-16.7333,-151.4333,299.89,64,62,7.15,PF,1686371073
275,arraial do cabo,-22.9661,-42.0278,293.96,84,0,6.35,BR,1686371073
276,wainwright,52.839,-110.8572,290.06,67,19,3.98,CA,1686371073
277,robertsport,6.7533,-11.3686,299.99,79,78,3.07,LR,1686371073
